,getScholarshipId,getScholarshipTitle,getProviderId,getProviderName,getProviderLogoSquareCdn,getProviderIsUniversity,getDescriptionOfDestinationCountryRestrictions,getDescriptionOfBenefits,getDescriptionOfDeadline,getIsNotSpecifiedDeadline,getDescriptionOfProviderLocation,getScholarshipVirtualName,getEligibility,getSupportedCountry,getOverall,getLink
1398,6964,AAPG Foundation Grants-in-Aid ,282,American Association of Petroleum Geologists Foundation,,False,Worldwide,3000 USD,Not specified,True,,aapg-foundation-grants-in-aid,"The UO Office of International Affairs grants several competitive cash-based scholarships each year to international students who demonstrate financial need and academic merit.
To be eligible students must have a minimum 3.5 GPA.",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/6964/aapg-foundation-grants-in-aid.html
1399,6988,"$1,000 All Star Verified Scholarship",290,Verified Scholarships,,False,Worldwide,1000 USD,31 Aug 2024,False,,1000-all-star-verified-scholarship,"Contest is open to students who are attending or who will attend an accredited college, university, or trade school.
In order to qualify as a contest participant, a person must successfully submit the application form and must be at least 18 years old.
Each contest participant can enter only once.
Contest participants' application form submissions must be written in English.",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/6988/1000-all-star-verified-scholarship.html
1400,8483,PlagiarismSearch 2024 Essay Contest,372,PlagiarismSearch,,False,Worldwide,1000 USD,10 Dec 2024,False,,plagiarismsearch-2024-essay-contest,"Current and prospective students who have encountered hardship, disability or other form of disadvantage.
Access scholarships are available for all certificate, diploma courses.",225 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/8483/plagiarismsearch-2024-essay-contest.html
1401,8210,"$1,500 Annual Video Contest Scholarship",247,IvyPanda,,False,Worldwide,1000 USD,31 Oct 2024,False,,1500-annual-video-contest-scholarship,"The scholarship includes siblings, spouses or children who commence study in the same academic year. The relative must also be (or have been) classified as an International student.
Applicants will need to evidence confirmation of the family relationship at the point of application.
Awarded in addition to the International Bursary and Merit or Excellence Scholarships, to a maximum scholarship of £5k per year.
Students would not be eligible for any other scholarship except for our International Bursary; Excellence Scholarship or Country Bursary.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/8210/1500-annual-video-contest-scholarship.html
1402,6958,Florida Rentals Annual Dream Vacation Scholarship,278,Florida Rentals,,False,Worldwide,1000 USD,31 Aug 2024,False,,florida-rentals-annual-dream-vacation-scholarship,"be aged 25 or over by 31 August;
be enrolled on an HNC, HND, undergraduate degree or distance learning PgDip/MSc course in September;
be studying full time, or part time (defined in this instance as studying at least 50% of the full time programme in this academic year);
submit an application form by 31 August;
be a new student to SRUC (you must not have studied at SRUC in the past five years);
still be on the course and engaging with your studies by the relevant payment date.",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/6958/florida-rentals-annual-dream-vacation-scholarship.html
1403,6844,Dr. Martin Blank – SYB Scholarship,248,Shield Your Body,,False,Worldwide,965 USD,Anytime,False,,dr-martin-blank-syb-scholarship,"Students applying must be enrolled with a high school, college or University.
This scholarship is available for students in Australia, USA, Canada and Europe.
Successful applicants are required to submit the original copies of their proof of their enrolment as a full-time student
The Smooth Movers reserves the right to reject incomplete applications or plagiarised applications.
They reserve the right to reject all applications not made in the English language.
The Smooth Movers reserves the right to publish the entries received on any platform.
The scholarship award is decided solely by the panel of The Smooth Movers ‘scholarship committee.
The Smooth Movers reserves the right to object or withdraw the scholarship upon discovering any breach in terms.",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/6844/dr-martin-blank-syb-scholarship.html
1404,6952,CryptoRunner Scholarship,271,CryptoRunner,,False,Worldwide,500 USD,31 Oct 2024,False,,cryptorunner-scholarship,"Candidates should be a degree student.
Candidates should abide by Chinese laws and university regulations, and not have any record of discipline violations.
Candidates should have taken some position in student societies, actively participated in university events and contribute to international student affairs.
Candidates should be in their third year of study, never fail any exam, be rated top 20% in their majors and have HSK 4 or above
Candidates should have strong research abilities, actively participated in social practice and scientific innovation activities.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/6952/cryptorunner-scholarship.html
1405,7624,Individual Travel Grant,82,Radboud University,//storage-prtl-co.imgix.net/endor/organisations/82/images/1712839615_logo_radboud_university.jpg,True,Worldwide,300 EUR,Anytime,False,"Nijmegen, Netherlands",individual-travel-grant,"Students should have taken a student monitor position or a leadership position in the International Student Union for over one year.
Students should be diligent, responsible and supportive to other students as well as the university.
Students who owe tuition or accommodation fee are not eligible to get into this scholarship selection.
Students who violated Chinese laws or university regulations are not eligible to get into this scholarship selection.",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/7624/individual-travel-grant.html
1406,1643,Ritchie-Jennings Memorial Scholarship Program,84,Association of Certified Fraud Examiners (ACFE),,False,Worldwide,10000 USD,05 Feb 2025,False,,ritchie-jennings-memorial-scholarship-program,"The sweepstakes is open to legal Us residents, DACA/undocumented students, and international students with valid visas, thirteen (13) years of age or older as of the date of their entry unless specified differently in the “Summary of Key Rules”. Employees and their families of the Sponsor affiliates, subsidiaries, parent companies, agencies, and participating retailers (collectively, the “Promotion Parties”) and those living in the household of same are not eligible to enter or win. By entering this Sweepstakes, entrants agree to abide by all terms of these Official Rules.
Open to high school, college, and graduate school students of all years. Must be currently enrolled full time (in high school or at an accredited university) or planning on enrolling within 24 months.",226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/1643/ritchie-jennings-memorial-scholarship-program.html
1407,6974,NextLevel Student Scholarship,286,NextLevel Student Scholarship,,False,Worldwide,1000 USD,Not specified,True,,nextlevel-student-scholarship,"Students should have participated in arts or sports competitions at national, provincial and municipal levels and owned prizes.
Students who owe tuition or accommodation fee are not eligible to get into this scholarship selection.
Students who violated Chinese laws or university regulations are not eligible to get into this scholarship selection.",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/6974/nextlevel-student-scholarship.html
1408,4176,Silk-Road Scholarship,11776,Seoul National University,,True,South Korea,600000 KRW,Not specified,True,"Anyang, South Korea",silk-road-scholarship,Be enrolled in a post graduate course in Political Science.,Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/4176/silk-road-scholarship.html
1409,1823,KMU SCHOLARSHIP,14049,Kaohsiung Medical University,,True,Taiwan,Various benefits,Not specified,True,"Kaohsiung, Taiwan",kmu-scholarship,"you receive a BAföG grant and have been enrolled for at least one full semester
the net income of those liable for your maintenance payments does not exceed twice the allowance stipulated in the BAföG act",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1823/kmu-scholarship.html
1410,1820,Sato Scholarship,14059,Kumamoto University,,True,Japan,180000 JPY,31 Aug 2024,False,"Kumamoto-shi, Japan",sato-scholarship,International students who are enrolled at the WWU and will complete their studies within one year.,226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/1820/sato-scholarship.html
1411,3675,JT Asia Scholarship,14059,Kumamoto University,,True,Japan,150000 JPY,31 Jan 2025,False,"Kumamoto-shi, Japan",jt-asia-scholarship,"Their belief is that achieving a high grade point average should not be the only criteria for determining who deserves to be helped. For that reason they are offering a scholarship that will be awarded on the basis of character, as determined by an evaluation of the essays that are submitted.
Scholarships are intended for the future leaders across a wide spectrum of fields of study. This award is available to high school seniors and all students attending a post secondary educational facility.
You are not required to be taking Engineering courses to be eligible.",11 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/3675/jt-asia-scholarship.html
1412,286,New International Student Scholarship,12905,National Chengchi University,,True,Taiwan,150000 TWD,Not specified,True,"Taipei, Taiwan",new-international-student-scholarship,"You are a musician and play an instrument or sing in any style or genre. You may or may not have followed a traditional grade pathway and there is no minimum grade required.
You commit to practising regularly in order to make progress in your lessons and musical development.
You commit to contributing to the musical life of the University. This is often through active membership of musical societies and can also include solo or group performances at Attenborough Arts Centre and elsewhere.",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/286/new-international-student-scholarship.html
1413,1921,Asian Development Bank-Japan Scholarship Program (ADB-JSP),13128,Tokyo Institute of Technology,,True,Japan,147000 JPY,Not specified,True,"Meguro, Japan",asian-development-bank-japan-scholarship-program,"Non-Chinese citizens.
Should be friendly to China, have no criminal record, and abide by the laws and regulations of the Chinese government and the rules and regulations of the school;
ln good physical and mental conditions, and with a good record of academic performance and conduct;
Aspiring to work in the Chinese language education and related fields;
Aged between16 and 35 (as of 1September, 2022), with the special allowance for the age limit of 45 for applicants currently working as Chinese language teachers and that of 25 for undergraduate student applicants.
Applicants withholding visas X1 or X2 are not eligible.",226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/1921/asian-development-bank-japan-scholarship-program.html
1414,1789,The Greater Mekong Sub-region Country Scholarship (GMS),13086,King Mongkut's University of Technology Thonburi,,True,Thailand,145000 THB,Not specified,True,"Phra Pradaeng, Thailand",the-greater-mekong-sub-region-country-scholarship,"between 18 and 30 years old;
professional or volunteer experience in the non-profit/social sector (proven by a socialinstitution’s letter of recommendation);
able to prove that they have not stayed in Germany for more than 18 months before the application;
qualification for university entrance;
intention to work in their country of origin for at least 18 months after graduation or to engage in non-profit work until the repayment plan has been fulfilled;
able to prove a relatively low net income;
average grades corresponding to a German grade point average of at least 2.0;
no first-degree family members who reside permanently in Germany;
application before the start of their university education or fully enrolled in the first, second or max. third semester at a state-recognized university (in Germany or abroad) or application for a master’s degree shortly before or after obtaining a bachelor’s degree.",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1789/the-greater-mekong-sub-region-country-scholarship.html
1415,3178,Japanese Government (MEXT) Scholarship,12396,Tohoku University,,True,Japan,119000 JPY,Not specified,True,"Sendai-shi, Japan",japanese-government-scholarship,International students (usually from the 3rd semester onwards) who are enrolled at the WWU and who are in a financial emergency situation due to unforeseeable external circumstances.,226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3178/japanese-government-scholarship.html
1416,3398,ASSURAN Scholarship,14059,Kumamoto University,,True,Japan,100000 JPY,28 Feb 2025,False,"Kumamoto-shi, Japan",assuran-scholarship,"Be an international full-fee paying student from South East Asia, South Asia or Africa.
Be enrolled full-time.
Be commencing 10 weeks ELBP plus a UON destination program.
Meet all of the financial obligations of a full-fee paying international student, including the full tuition fee and other expenses for the purpose of obtaining your student visa, and in the event that eligibility for the scholarship is not maintained.",11 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/3398/assuran-scholarship.html
1417,1606,Student Exchange Support Program (Scholarship for Short-Term Study in Japan),11739,Kyoto University,,True,Japan,80000 JPY,Not specified,True,"Kyoto, Japan",student-exchange-support-program,"be an international student, commencing studying at JCU for the first time;
be commencing study as a full-time undergraduate or postgraduate student;
not be enrolling in Diplomas, End-on Honours degrees, Bachelor of Medicine, Bachelor of Surgery, Bachelor of Dental Surgery, Graduate Certificates, Graduate Diplomas or online and non-award programs;
not be enrolling via a JCU partnership are not be eligible for this scholarship and should refer to the JCU Partners scholarship;
if commencing an Undergraduate degree, demonstrate an ATAR of 65 (or equivalent);
if commencing a Postgraduate degree, demonstrate 65% or above achievement where 50% is a pass mark of the student’s relevant qualification.",11 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/1606/student-exchange-support-program.html
1418,2238,Monbukagakusho Honors Scholarship for Privately-Financed International Students (JASSO Scholarship),13128,Tokyo Institute of Technology,,True,Japan,48000 JPY,Not specified,True,"Meguro, Japan",monbukagakusho-honors-scholarship-for-privately-financed-international-students,"The acquisition and accreditation of the linguistic competence required to obtain the Bachelor's degree (level B1 or higher in a first foreign language).
The acquisition of language skills of level B2 or higher in a first foreign language.
The acquisition of language skills of level B1 or higher in a second foreign language.",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/2238/monbukagakusho-honors-scholarship-for-privately-financed-international-students.html
1419,2259,The Monbukagakusho Honors Scholarship for Privately-Financed International Students,12396,Tohoku University,,True,Japan,48000 JPY,Not specified,True,"Sendai-shi, Japan",the-monbukagakusho-honors-scholarship-for-privately-financed-international-students,Available to all international students in the Faculty of Environmental & Urban Change who demonstrate financial need on a bursary application because of an unexpected and/or extenuating circumstance.,11 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/2259/the-monbukagakusho-honors-scholarship-for-privately-financed-international-students.html
1420,2911,Reservation Program for Honors Scholarship for Privately Financed International Students (JASSO),14059,Kumamoto University,,True,Japan,48000 JPY,Not specified,True,"Kumamoto-shi, Japan",reservation-program-for-honors-scholarship-for-privately-financed-international-students,"To be eligible for a Global Futures Scholarship, you must be living in one of the countries listed below and be self-funded (not sponsored).
The level of award, eligibility criteria and application deadlines differ for each region so check your country profile for specific details",226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/2911/reservation-program-for-honors-scholarship-for-privately-financed-international-students.html
1421,4075,Global Excellence Scholarship,11798,The University of Western Australia,,True,Australia,48000 AUD,Not specified,True,"Perth, Australia",global-excellence-scholarship,"Be a citizen of a Chevening-eligible country or territory.
Return to your country of citizenship for a minimum of two years after your award has ended.
Have completed all components of an undergraduate degree that will enable you to gain entry onto a postgraduate programme at a UK university by the time you submit your application. This is typically equivalent to an upper second-class 2:1 honours degree in the UK but may be different depending on your course and university choice.
Have at least two years (equivalent to 2,800 hours) of work experience.",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/4075/global-excellence-scholarship.html
1422,2292,Research Training Program (RTP) Stipend Scholarship,11978,Queensland University of Technology,,True,Australia,33637 AUD,Not specified,True,"Brisbane, Australia",research-training-program-stipend-scholarship,"Scholarships can be awarded to undergraduate students for four years, to master’s students for two years, and to doctoral students for three years at most.",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/2292/research-training-program-stipend-scholarship.html
1423,1916,MATRAN Programme Entrance Student Scholarship,12749,Hong Kong Baptist University,,True,Hong Kong (SAR),30000 HKD,Not specified,True,"Kowloon, Hong Kong (SAR)",matran-programme-entrance-student-scholarship,"The NAWA scholarship may be applied for by citizens of the following countries: Albania, Angola, Argentina, Armenia, Azerbaijan, Belarus, Bosnia and Herzegovina, Brazil, Colombia, Ethiopia, Georgia, India, Indonesia, Iraq, Iran, Jordan, Kazakhstan, Kenya, Kosovo, Lebanon, Mexico, Moldova, Montenegro, Nigeria, North Macedonia, Palestine, Peru, the Philippines, Senegal, Serbia, South Africa, Tanzania, Tunisia, Ukraine, Uzbekistan, and Vietnam.
In addition, the citizens of Albania, Armenia, Azerbaijan, Belarus, Bosnia and Herzegovina, Georgia, Kazakhstan, Kosovo, Montenegro, Moldova, North Macedonia, Serbia, Ukraine, and Uzbekistan can complete second-degree studies in the fields of humanities and social sciences under the Programme, with the exception of philological studies in the field of the beneficiary’s native language.",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1916/matran-programme-entrance-student-scholarship.html
1424,4154,Snowdon Masters Scholarships,427,Bangor University,//storage-prtl-co.imgix.net/mp/5de0e8561c6a.png,True,United Kingdom,30000 GBP,Not specified,True,"Bangor, United Kingdom",snowdon-masters-scholarships,"Each MSc application is automatically considered for this discount, and the selected students are informed when receiving the admission letter.",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/4154/snowdon-masters-scholarships.html
1425,2522,Longshun Metal Scholarship ,13955,Jiangsu University,,True,China,30000 CNY,Not specified,True,"Zhenjiang, China",longshun-metal-scholarship,,Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/2522/longshun-metal-scholarship.html
1426,2790,Chengdu Government Scholarships for International Students from Sister Cities,21429,Chengdu University,,True,China,25000 EUR,Not specified,True,"Chengdu, China",chengdu-government-scholarships-for-international-students-from-sister-cities,"Eligibility is based on information you provide on your CSS Profile application(s) as a first-year student, and information you provide on your FAFSA form as a continuing student. ",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/2790/chengdu-government-scholarships-for-international-students-from-sister-cities.html
1427,1979,Chongqing Municipal Government Mayor Scholarship,99,Chongqing Municipal Government,,False,China,25000 CNY,30 Sep 2024,False,,chongqing-municipal-government-mayor-scholarship,"Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor. Awards are assigned based on nominations from eligible academic units. Unless otherwise noted in the award description, you must be a full-time graduate student.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1979/chongqing-municipal-government-mayor-scholarship.html
1428,4100,Chengdu University Scholarships for International Students,21429,Chengdu University,,True,China,20000 CNY,Not specified,True,"Chengdu, China",chengdu-university-scholarships-for-international-students,The UO Office of International Affairs grants several competitive cash-based scholarships each year to international students who demonstrate financial need and academic merit.,11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/4100/chengdu-university-scholarships-for-international-students.html
1429,8468,Finland Scholarship,146,Hanken School of Economics,//storage-prtl-co.imgix.net/mp/5de0e6ebf604.png,True,Finland,20000 EUR,Anytime,False,"Helsinki, Finland",finland-scholarship,"Currently enrolled Curtin student (Must provide Confirmation of Enrolment);
Primary carer for a child under the age of 12;
In receipt of a means tested Centrelink benefit or on low income (Must provide 3 months bank statements/transactions);
Have an unexpected need to access childcare services in order to satisfactorily meet the current study commitments;
With the assistance of the Guild’s Financial counsellor, demonstrate financial hardship.",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/8468/finland-scholarship.html
1430,1435,College of International Education International Pathways Scholarship,10831,University of Newcastle,//storage-prtl-co.imgix.net/endor/organisations/10831/logos/sq-10831.png,True,Australia,17575 AUD,Not specified,True,"Newcastle, Australia",college-of-international-education-international-pathways-scholarship,"In addition, U.Porto awards Incentive Prizes to the best first-year students of each one of its 14 schools/faculties.
The prizes – equivalent to the amount of the annual tuition fees – are awarded during the commemoration ceremony on University Day.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1435/college-of-international-education-international-pathways-scholarship.html
1431,7637,Maastricht University Euregion Refugee Scholarship,85,Maastricht University,,True,Netherlands,16086 EUR,Not specified,True,"Maastricht, Netherlands",maastricht-university-euregion-refugee-scholarship,"UK/EU/International student.
Must be a top athlete with high performance in sports.",226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/7637/maastricht-university-euregion-refugee-scholarship.html
1432,3828,The New Zealand NCUK University of Waikato Bursary,12782,University of Waikato,,True,New Zealand,15000 NZD,Not specified,True,"Hamilton, New Zealand",the-new-zealand-ncuk-university-of-waikato-bursary,"The Stahlmann Foundation offers a housing scholarship to students who are younger than 25, have a good command of written and spoken German, have a clear idea of their educational goal, are striving to achieve this goal at a German educational institution, are in some form of need, and are willing to make a commitment to the Foundation.",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3828/the-new-zealand-ncuk-university-of-waikato-bursary.html
1433,1343,University of Waikato International Excellence Scholarship,12782,University of Waikato,,True,New Zealand,15000 NZD,Not specified,True,"Hamilton, New Zealand",university-of-waikato-international-excellence-scholarship,"Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor. Awards are assigned based on nominations from eligible academic units. Unless otherwise noted in the award description, you must be a full-time graduate student. ",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1343/university-of-waikato-international-excellence-scholarship.html
1434,3829,Sport Scholarship,220,Anglia Ruskin University,,True,United Kingdom,12500 GBP,Anytime,False,"Cambridge, United Kingdom",sport-scholarship,"Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor. Awards are assigned based on nominations from eligible academic units. Unless otherwise noted in the award description, you must be a full-time graduate student. ",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3829/sport-scholarship.html
1435,2741,International Graduate Student Scholarship,12878,National Taipei University of Technology,,True,Taiwan,12000 TWD,01 Jan 2025,False,"Taipei, Taiwan",international-graduate-student-scholarship,"Admitted and enrolled international students and international doctoral candidates at TU Dortmund University only!
The scholarships will be awarded by a selection committee. The application interview is held in German language.",225 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/2741/international-graduate-student-scholarship.html
1436,862,Multi-intellectual Scholarship,13086,King Mongkut's University of Technology Thonburi,,True,Thailand,10000 THB,Not specified,True,"Phra Pradaeng, Thailand",multi-intellectual-scholarship,"Complete and submit the online application form for your Master with Thesis program of interest with all the required documents (this includes a valid GRE/GMAT and TOEFL test score). There are NO SEPARATE SCHOLARSHIP FORMS. Graduate program applications are available in the original source.
Submitting an application without the required exam scores (GRE/GMAT, TOEFL) significantly diminishes your admission chances and therefore your scholarship chances.
All admitted Master with Thesis students are awarded 100% merit-based scholarships by the relevant Graduate School (except for the Graduate School of Health Sciences). Merit-based scholarships may also include other benefits (living expenses, health insurance) depending on the Graduate School. Please note that the LLM with Thesis program is not included in this category.
Scholarship results are communicated to candidates with the admission offer letter from the relevant Graduate School via email on the dates indicated on their respective websites under “Admission”.",11 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/862/multi-intellectual-scholarship.html
1437,1480,Charles A. and Jackie Swenson Scholarship,12252,University of Oregon,,True,United States,10000 USD,Not specified,True,"Eugene, United States",charles-a-and-jackie-swenson-scholarship,"Self-financing students returning to complete a second programme of study, who are not in receipt of another type of discount (including regional awards) having already been awarded a Middlesex degree, will be able to claim an Alumni tuition fee discount.
Middlesex University students (UK/EU and International students) who have successfully completed an Undergraduate direct-entry into years 2 or 3 (Top-ups), and graduates from validated and franchise institutions would receive a 20% discount.
Again this is dependent on them not being in receipt of any other regional award or Scholarship. This discount is not applicable to students being Sponsored by an organisation or business.
The University offers all Alumni a 20% fee reduction on postgraduate courses. This scheme is open to UK, EU and International students studying full time or part time postgraduate studies.",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1480/charles-a-and-jackie-swenson-scholarship.html
1438,1024,University of Waikato International Progression Bursary,12782,University of Waikato,,True,New Zealand,10000 NZD,Not specified,True,"Hamilton, New Zealand",university-of-waikato-international-progression-bursary,"Normally, the minimum requirement for consideration is an A- average and any additional criteria that has been established by the donor. Awards are assigned based on nominations from eligible academic units. Unless otherwise noted in the award description, you must be a full-time graduate student. ",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/1024/university-of-waikato-international-progression-bursary.html
1439,3237,Ord and Linda Anderson Interdisciplinary Graduate Scholarship,12137,University of Victoria,,True,Canada,10000 CAD,Not specified,True,"Victoria, Canada",ord-and-linda-anderson-interdisciplinary-graduate-scholarship,"You are eligible for the Master’s programme at the University of Helsinki.
You are liable for tuition fees: Citizens of non-EU/EEA countries who do not have permanent residence status in the EU/EEA area are liable for tuition fees.
You meet the requirements for obtaining an entry visa and residence permit for Finland.
You have obtained excellent results in your previous studies and can prove this in your application.Previous academic performance and possible letters of motivation, in addition to which the grounds presented by applicants in their grant applications will be taken into consideration.
Also University's and programmes strategic goals can be taken into account.",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/3237/ord-and-linda-anderson-interdisciplinary-graduate-scholarship.html
1440,3574,Government Of Ireland Scholarships,102,Government Of Ireland,,False,Ireland,10000 EUR,13 Mar 2025,False,,government-of-ireland-scholarships,"Be enrolled in one of the degrees of the Blanquerna-URL Faculties and have passed 80% of the credits taken in the previous year.
Not to exceed 16,000 euros gross per year per member of the family unit. Income from the return on movable and / or immovable capital will alsoSpecial situations of the family unit will be valued (large family, special large family, single parent, illnesses, deaths, job instability ...); however, these situations will not represent the direct and automatic award of the grant.
Be aware of the financial obligations with the Faculty (payment of monthly fees and tuition fee).
The submission of an application for a public scholarship from the Ministry of Education and Vocational Training or AGAUR, as well as scholarships from other Autonomous Communities, will be valued.",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3574/government-of-ireland-scholarships.html
1441,120,Academic Excellence Scholarship,21432,China University of Petroleum (East China),,True,China,10000 CNY,Not specified,True,"Qingdao, China",academic-excellence-scholarship,"LazioDisco is a scholarship by Regione Lazio for students applying in the Lazio region.
DiSCo Lazio (or LazioDiSCo) is a scholarship for students applying to universities in the Lazio region.
Students of Tor Vergata University of Rome are thus eligible to apply for the study grant.",11 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/120/academic-excellence-scholarship.html
