title,author,description,criteria,amount,location,supported_country,deadline,study,inclusion,number_of_awards,link
Morgan Stanley Internship Program,Central European University,"Morgan Stanley will award paid internships in its Finance, Risk, Quantitative Finance and possibly other teams in Budapest.

Selected candidates may be awarded partial tuition waivers. The internships can lead to full-time job offers.","Hold a bachelor’s (or higher) degree with a 3.0 GPA, or equivalent professional experience, in a quantitative field e.g. economics, statistics, science, computer science, mathematics, engineering  
Hold a quantitative GMAT score of 45 or GRE score of 154, or can take the CEU Math Test online after applying.",Partial Tuition,Hungary,Unrestricted,February 1st,Hungary,,Multiple,https://www.internationalscholarships.com/scholarships/3577/
GRADUATE SCHOLARSHIP PROGRAMS OF TON DUC THANG UNIVERSITY,Ton Duc Thang University,"TDTU scholarships provide talented and deserving international students with the opportunity to develop a passion for learning in our engaged, dynamic and inclusive university.
We offer scholarships based on GPA of students and the scholarship will be reviewed every year. Students from all over the world are welcome to apply.
Eligibility Criteria
Graduated from the university which is in the THE/ QS/ URAP/ARWU ranking;
Review based on GPA;
Meet the English language proficiency (IELTS/ TOEFL iBT certificate);
Match all required documents for the application.",Please visit our website for more information,$2000 - 7000,Vietnam,"Argentina, Australia, Austria, Belgium, Bhutan, Brazil, Brunei Darussalam, Cambodia, Canada, Chile, China, Colombia, Costa Rica, Croatia, Cuba, Czech Republic, Denmark, Dominica, Dominican Republic, East Timor, Ecuador, Finland, France, Germany, Greece, Greenland, Guam, Haiti, Hong Kong (SAR), Hungary, Iceland, India, Indonesia, Ireland, Italy, Jamaica, Japan, Korea, North, Korea, South, Laos, Luxembourg, Macao, Madagascar, Malaysia, Maldives, Mexico, Monaco, Mongolia, Myanmar, Nepal, Netherlands, New Zealand, Norway, Peru, Philippines, Poland, Portugal, Russia, Singapore, Spain, Sri Lanka, Sweden, Switzerland, Taiwan, Tanzania, Thailand, Turkey, Ukraine, United Kingdom, United States, Uruguay and Vietnam",Spring semester: 15th July-30th November/Fall semester: 15th January-30th May,Vietnam,"- Tuition fee (main program + Vietnamese language course)
- Accommodation
- Enrollment fee",210,https://www.internationalscholarships.com/scholarships/3516/
Women in Technology Scholarship,Central European University,"BlackRock and CEU will award scholarships to women who show passion for data analysis, programming and technology, and great potential or leadership in their professional and personal endeavors.

The scholarships cover up to 100% of tuition, and one-on-one mentoring by CEU faculty and industry partners.","Hold a bachelor’s (or higher) degree with a 3.0 GPA, or equivalent professional experience, in a quantitative field e.g. economics, statistics, science, computer science, mathematics, engineering  
Hold a quantitative GMAT score of 45 or GRE score of 154, or can take the CEU Math Test online after applying.",Full Tuition,Hungary,Unrestricted,February 1st,Hungary,,Multiple,https://www.internationalscholarships.com/scholarships/3576/
Big Data Scholarship and Training,Central European University,"A London-based boutique investment firm will award applicants who demonstrate passion for financial services, data analysis and programming.
The scholarships cover full tuition, mentoring, and a paid research assistantship as needed. The recipients, if performing well, will be considered for an internship in the firm’s Mayfair, London office.","Hold a bachelor’s (or higher) degree with a 3.0 GPA, or equivalent professional experience, in a quantitative field e.g. economics, statistics, science, computer science, mathematics, engineering  
Hold a quantitative GMAT score of 45 or GRE score of 154, or can take the CEU Math Test online after applying.",Full Tuition,Hungary,Unrestricted,February 1st,Hungary,,Multiple,https://www.internationalscholarships.com/scholarships/3575/
PFLAG Chapter Scholarships,"Parents, Families and Friends of Lesbians and Gays (PFLAG) National","Many PFLAG chapters have scholarship programs of their own. The following is not an exhaustive list, but includes some of the programs that are available through our chapter network.",Information for the following academic year will be available in December,"$1,000",Unrestricted,Unrestricted,February 14,Unrestricted,,Variable,https://www.internationalscholarships.com/scholarships/1302/
Thermo Fisher Scientific Antibody Scholarship,Thermo Fisher Scientific Pierce Biotechnology,"Since 2012, Thermo Fisher Scientific has offered scholarships to undergraduate and graduate students in the life sciences. This year we are again offering six scholarships for future science scholars. One $10,000 scholarship and five $5,000 scholarships will be awarded in August. 

• Application end date: May 5
• Winner announced: August 5","• Open to: 
• graduate and undergraduate students who (i) will be attending an accredited US college or university in the Fall 2021 semester; (ii) who is or will be a legal resident (includes student visa holders) of one of the 50 US states or the District of Columbia as of August 5, 2021; (iii) will be at least 18 years of age or older as of August 5, 2021; and (iv) have a declared major of biology, chemistry, bio-chemistry or a related life science field; and (v) meets the following applicable 
GPA requirements: 
• Graduate students must have a cumulative graduate GPA of >3.0 on a 4.0 scale, and have received a cumulative undergraduate GPA of >3.0 on a 4.0 scale 
• Undergraduate Sophomores, Juniors, and Seniors must have cumulative college GPA of >3.0 on a 4.0 scale 
• Undergraduate Freshmen must have a cumulative high school GPA of >3.0 on a 4.0 scale Healthcare Professionals (term defined in the Official Rules) may not participate in this Program. US federal or state government employees may not participate in this Program. This Program is void where prohibited by law.","Up to $10,000",United States,Unrestricted,May 5,United States,"College undergraduates and graduate students attending an accredited US college or university in the Fall 2021 semester; (ii) who is or will be a legal resident (includes student visa holders) of one of the 50 US states or the District of Columbia as of August 5, 2021; (iii) will be at least 18 years of age or older as of August 5, 2021; and (iv) have a declared major of biology, chemistry, bio-chemistry or a related life science field;",Six,https://www.internationalscholarships.com/scholarships/3579/
"$1,500 Essay Writing Contest",IvyPanda,"IvyPanda.com provides $1500 in awards annually for talented students who demonstrate mastery of essay writing. Prizes5 will be awarded to two winners: the winner will receive $1,000; the runner-up prize is $500.","We will accept submissions from current high school, college, or university students from any country. The winners will be required to send us proof of their academic status or enrollment.","$1,500",Unrestricted,Unrestricted,May 31,Unrestricted,,2,https://www.internationalscholarships.com/scholarships/3580/
Vaughn S. Clauson Public Interest Scholarship,"The Clauson Law Firm, PLLC","The purpose of the scholarship is to provide financial assistance to students pursuing an undergraduate, graduate, or professional studies degree or certificate. Candidates must possess a desire to use their talents for the good of their community through engagement in work serving the public interest. The scholarship is specifically intended to offer financial assistance to those individuals who delayed their academic studies to serve in the military or work in other careers before returning to pursue their educational goals.

Eligibility
The Vaughn S. Clauson Public Interest Scholarship is open to students attending a college, university graduate school, or law school located in the United States without regard to age, race, color, creed, religion, sexual orientation, gender, disability or national origin. The $2,000 scholarship is a one-time, non-renewable award payable before the start of the school year.

The scholarship shall be paid directly to the appropriate office at the college or university upon presentation of satisfactory documentation from the school confirming the student's enrollment. The funds may only be used to cover the actual cost of tuition, books and academic supplies, fees, and housing at the school attended by the student.

Application Process
Candidates interested in The Vaughn S. Clauson Public Interest Scholarship may request an application by contacting the email address below. The completed application must be submitted along with a 250-word essay explaining why they are interested in changing careers and what they intend to do after graduation to apply their education toward contributing to the good of their community by helping others.

Completed applications along with the 250-word essay must be submitted no later than April 1. The winner will be announced on June 1.",,"$2,000",United States,Unrestricted,April 1,United States,,1,https://www.internationalscholarships.com/scholarships/3585/
William Woods University Performance Award,William Woods University,"For those with an intended major in American Sign Lanugage Interpreting, Communication, 
Graphic Arts or Graphic Design, Performing Arts or Theatre, Studio Art or Equestrian Science.
Awards vary and are based on departmental evaluations. Additional criteria required.",Full-time enrollment is required.,"$1,000 - $5,000",United States,Unrestricted,Unrestricted,United States,"Applied toward tuition, room and board. A limited amount of up to $5,000, are available to exceptional students whom the faculty feels could act as academic and creative role models within the division.",Variable,https://www.internationalscholarships.com/scholarships/966/
Academic English Bursary - Australia,RMIT Training,"The RMIT Ready Bursary is a 20% bursary (like a discount or scholarship) that is available to all RMIT Training Academic English and Foundation Studies international students. This 20% bursary is applicable to tuition fees.

The Bursary will be applied to your Academic English tuition fees and any excess prepaid tuition fees will be transferred to your formal RMIT University program.","Value and duration
20% tuition fee reduction to either:
* Academic English program  or
* Foundation Studies program for two (2) semesters with July 2021 intake

Bursary eligibility
In order to qualify for this bursary you must:
* be enrolling as a student in either English for Academic Purpose (EAP) or Foundation Studies program

How to apply
* Select an eligible program.
* Submit an application to study at RMIT Training.
* If you are successful, you will receive an offer letter with the bursary details outlined.

Bursary open date
Applications now open.

Terms and conditions
* The bursary will be paid towards the tuition fees of either English for Academic Purpose (EAP) or Foundation Studies program.
* The bursary applies only to the first eligible program.
* This bursary cannot be deferred to another year.
* The bursary may be offered together with other RMIT International scholarship i.e. Future Leaders Scholarship.
* RMIT has the authority to cease offering this reduction at any time.
* This bursary is not eligible for Latin American students under English for Academic Purpose (EAP) but they are eligible under the Foundation Studies.",20% tuition fee reduction,Australia,Unrestricted,31 December,Australia,,Various,https://www.internationalscholarships.com/scholarships/3594/
MBA Scholarship Stockholm,"Utbildning.se, Stockholm School of Economics and Dagens industri","This scholarship is based on cooperation between Dagens Industri, utbildning.se and Stockholm School of Economics and covers the full tuition fee of SEK 495.000 + VAT for Stockholm School of Economics Executive MBA Program.","In order to be eligible for the program, the applicant needs to have at least a three year academic degree and at least five years of relevant work life experience. Excellent English language skills is also a prerequisite.",495 000 SEK,Sweden,Unrestricted,June 18 2021,Sweden,,1,https://www.internationalscholarships.com/scholarships/3508/
9th GIORGIO ROTA Best Paper Award,Centro Einaudi,"9th Centro Einaudi GR Best Paper Award  with the support of Fondazione CRT 

Young researchers are invited to participate to the 9th GIORGIO ROTA Best Paper Award by submitting high-quality scientific papers (a maximum of two papers per candidate) on the following subject:  Main economic tendencies in the contemporary world economy

The GIORGIO ROTA Best Paper Award is open to researchers born after December 31st, 1986 with university graduate qualification (BA, MA or PhD) in the fields of economics, geography, sociology, political science or other social sciences. 

Topics of interest thus include, but are not limited to: 

·       globalisation and deglobalisation processes 

·       the economic implications of the coronavirus pandemic 

·       the debt cycles in the post-crisis world economy 

·       secular stagnation and the limits to growth in developed countries 

·       emerging state regulation and regionalism in international trade 

·       increased global economic inequality and political instability 

·       the political economy of populism 

·       the digitalisation of the economy 

·       the political economy of energy transition 

·       geopolitics of the natural resources management 

·       the Belt and Road Initiative and other world-scale investments 

·       global food governance and alternative food networks",,€1500,Unrestricted,Unrestricted,March 15,Unrestricted,The authors of the three best papers will be awarded a prize of 1.500 Euros (gross) per paper and they will be invited to present their work at the Giorgio Rota Conference in Turin in presence or by webinar. Participation to the conference is mandatory in order to be awarded the prize. The Centro Einaudi will refund up to a maximum of 1.000 Euros for travel/accomodation,3,https://www.internationalscholarships.com/scholarships/3587/
Scholarship for Studying in Kazakhstani Universities,Ministry of Education and Science of the Republic of Kazakhstan,"The Ministry of Education and Science of the Republic of Kazakhstan calls for foreign applicants, including persons of Kazakh nationality who are not citizens of the Republic of Kazakhstan for full-time studying under Bachelor, Master and PhD educational programs.

Admissions operator is Bologna process and academic mobility center MES RK.","Application form can be submitted in Kazakh or Russian or English. 
Applicants should attach scanned copies of the following documents:
 
Bachelor / Master degree:
1)      copy of identification document.
2)      copy of document on previous level of education (with transcript) (notarized translation into Kazakh or Russian or English).
3)      motivational essay in Kazakh or Russian or English.
4)      letter of recommendation in Kazakh or Russian or English from the educational organization in which the applicant studied, or from the employer.
5)      medical certificate for studying abroad, as well as a medical certificate about the absence of a human immunodeficiency virus (HIV infection) and AIDS diseases issued by an official health authority of the candidate’s country of residence.
6)      invitation letter from Kazakhstan university (if available).
 
PhD degree:
1)      copy of identification document.
2)      copy of document on previous level of education (with transcript) (notarized translation into Kazakh or Russian or English).
3)      motivational essay in Kazakh, or Russian, or English.
4)      letter of recommendation in Kazakh or Russian or English from the educational organization in which the applicant studied, or from the employer.
5)      medical certificate for studying abroad, as well as a medical certificate about the absence of a human immunodeficiency virus (HIV infection) and AIDS diseases issued by an official health authority of the candidate’s country of residence.
6)      invitation letter from Kazakhstan university (if available).
7)      PhD research proposal in Kazakh or Russian or English languages;
8)      international certificate, confirming the language skills:
·     English language: 
TOEFL ITP – no less than 460 score,
TOEFL IBT – no less than 46 score,
TOEFL PBT – no less than 453 score,
IELTS – no less than 5.5;
Duolingo English Test no less than 85 score.
·     German language: 
DSH, Niveau B2, 
TestDaF-Prufung Niveau B2;
·     French language: 
TFI – not lower than ?2 level on reading and listening sections, 
DELF – B2 level,
DALF – B2 level, 
TCF – no less than 50 score.
An international certificate confirming the possession of a foreign language by a person for whom these languages are native is not required.",Full Tuition,Kazakhstan,Unrestricted,20 July,Kazakhstan,"Scholarships allocation:
Bachelor degree program – 490
Master degree program – 50
PhD degree program – 10",550,https://www.internationalscholarships.com/scholarships/3599/
Karatay Scholarships Turkey,KTO Karatay University,"KTO Karatay University offers Tuition Waiver scholarships to 491 international students who take the online scholarship exam. 81 students will get 100% scholarships and 410 students will get 50% scholarships. Scholarships cover tuition fees only. The scholarship exam is on 18 June and it will be available in 5 languages: Turkish, English, Arabic, Russian, and French. 
For details and application please visit the website (address below).",Test takers are required get at least 55/100.,Between $14.814.00 - $5.555.00,Turkey,Unrestricted,19 August,Turkey,Tuition fees,491,https://www.internationalscholarships.com/scholarships/3600/
Physical Therapy Scholarship,Arctic Chiropractic & Physical Therapy,"To be eligible for the ""Arctic Physical Therapy Scholarship"" a student must:

1) Be attending college or university.

2) Be attending college or university on a full-time or part-time basis.

3) Have achieved a GPA of 3.0 or greater during their last academic year.

4) Be a U.S. or Canadian resident.

5) Be attending a school in the U.S. or Canada.

6) Submit answers to the essay questions no later than 11:59 PM EST on the day of the deadline.

*Note that you can be enrolled in any field of study.",,500,Canada and United States,Unrestricted,August 31,Canada and United States,,1,https://www.internationalscholarships.com/scholarships/3648/
Heavy Equipment Parts Express Scholarship,Heavy Equipment Parts Express,"Eligibility:

A) Must currently be in high school, college, or university.

B) Must be at least 16 years of age on the day of the deadline.

C) Must be a resident of the United States or Canada.

D) Must complete the application before 11:59 PM ET on April 1.

E) Submit an answer to the essay question.",,500,Canada and United States,Unrestricted,April 1,Canada and United States,,1,https://www.internationalscholarships.com/scholarships/3646/
Review It Scholarship,Dr. Gabriel Chiu and Christine Chiu,"*The scholarship will be awarded to the best Movie Review submitted by a student before the scholarship deadline.

To be considered eligible for the “Review It” Scholarship you must:

A) Be attending college or university.

B) Have achieved a GPA of 2.5 or greater during their last academic year.

C) Be attending or planning to attend a school in the US.

D) Submit your Movie Review no later than 11:59 PM EST on the day of the deadline.

*Note that you can be enrolled in any field of study.

The scholarship winner will be announced roughly six weeks after the deadline and will be posted on our website immediately after.  No late applications will be reviewed.",,1000,United States,Unrestricted,May 15,United States,,1,https://www.internationalscholarships.com/scholarships/3645/
Pharmica International Scholarship Award,Pharmica,"The Pharmica International Scholarship Program is awarded annually to a student accepted to study at an accredited university, and who is classified as an international or overseas student in terms of fees, to subsidise their higher education fees in the form of a one-off $1,000 award.

At Pharmica Pharmacy, a thorough understanding of health and medicine is fundamental to ensuring patient safety and providing expert advice. We believe that this valuable education all starts in school and continues through higher education, but we recognize the financial barriers for many students to continue their studies beyond high school, especially when looking to study abroad.

For full details of the scholarship and to apply, visit the link below.","To be eligible to apply for the scholarship, you must be:

- At least 18 years old, or be able to provide written permission from a parent or guardian if you are under 18.
- In good academic standing with your current educational institution, with an average GPA of 3.0 or higher.
- A holder of a valid student visa or student permit.
- Currently enrolled in or accepted to a full-time undergraduate program starting or continuing in the next academic year, at an accredited college or university, as an international/overseas student.

Visit the link below to see how to apply.",$1000,Unrestricted,Unrestricted,June 30th,Unrestricted,,1,https://www.internationalscholarships.com/scholarships/3662/
Design Talent Scholarships,Istituto Europeo di Design Barcelona (IED),"The school offers 13 (thirteen) international scholarships in Design, Fashion, Visual Arts, and Management for its university degree (Bachelor's Degrees, Ba (Hons) and Diplomas Courses - (English and Spanish) in Barcelona.

The scholarship covers 100% of the tuition fee.","Candidates will be required to put forward ideas and projects under the theme ""HYBRID INNOVATION"" and develop a project based on the following questions: Who are the great masters of design who used hybridization as a tool for innovation? Which is their most evocative project, able to break the rules and create a new reality? How do they inspire your creative practice? Identify a great master of design connected with the specific undergraduate course you’re interested in. 

The work must be submitted in a digital format with a description thereof in the language in which the course is held. A Selection Committee will award the scholarships to the best projects. The deadline is 5th April.",16.000 €,Spain,Unrestricted,April 5,Spain,The scholarship covers 100% of the tuition fee.,13,https://www.internationalscholarships.com/scholarships/3657/
Rotary Peace Fellowship,Rotary International,"Promoting peace is one of Rotary’s main causes. The fully funded Rotary Peace Fellowship, which covers tuition and living expenses, increases the capacity of existing leaders to prevent and resolve conflict by offering academic training, field experience, and professional networking. 

Up to 130 fellows are selected every year in a globally competitive process based on personal, academic, and professional achievements. Fellows earn either a master’s degree or a professional development certificate in peace and development studies at one of the seven Rotary Peace Centers, located at leading universities around the world.  
 
More than 1,300 program alumni are working in more than 115 countries as leaders in national governments, nongovernmental organizations, social enterprises, the military, law enforcement, and international organizations such as the United Nations. 
 
Master’s degree  
- 15-24 month program, small-group classroom learning, in fields related to peace and development 
- Intended for leaders near the start of their careers 
- 50 fellows selected annually to study at one of five Rotary Peace Centers at partner universities, which offer interdisciplinary curricula with research-informed teaching 
- 2-3 month field study experience to develop practical skills 
- Fellows connect with an international cohort of fellows, thought leaders, and a global network of Rotarians 
 
Professional development certificate 
- Yearlong program that blends online learning, in-person classes, and an independent project, based at a Rotary Peace Center in Thailand or Uganda 
- Intended for social change leaders with extensive experience working in peace-related fields
- 80 fellows selected annually to earn a certificate in peace and development studies 
- Interdisciplinary program includes a two-week online preliminary course, 10 weeks of on-site courses with field studies, a nine-month period during which fellows implement a social change initiative (with interactive online sessions), and an on-site capstone seminar 

Eligibility: Take the eligibility quiz online. See link below. 
 
Qualified candidates must:   
- Have three years of related work experience for the master’s program 
- Have five years of related work experience for the certificate program and be able to explain how their plan to promote peace aligns with Rotary’s mission  
- Be proficient in English
- Have a bachelor’s degree  
- Demonstrate leadership skills 
- Have a strong commitment to cross-cultural understanding and peace 

Applications need to be submitted to Rotary districts by 31 May. Please write to the email address below with questions. (Registered users can see contact details).","Peace fellowship applicants must meet these requirements:

Proficiency in English; a second language is strongly recommended
Demonstrated commitment to international understanding and peace 
Excellent leadership skills
Master’s degree applicants: minimum three years of related full-time work or volunteer experience, bachelor’s degree
Certificate applicants: minimum five years of related full-time work or volunteer experience, strong academic background",Fully-funded,"Australia, Japan, Sweden, Thailand, Uganda, United Kingdom and United States",Unrestricted,May 31,"Australia, Japan, Sweden, Thailand, Uganda, United Kingdom and United States","Tuition
Living expenses
Travel to/from country of study",130,https://www.internationalscholarships.com/scholarships/2613/
Transparency International School on Integrity,Transparency International Lithuania,"Transparency International School on Integrity is an annual state-of-the-art anti-corruption and accountability training for future leaders. The School exposes its participants to the latest developments in the field of anti-corruption and accountability and offers real opportunities to try and implement their ideas in practice. The upcoming School will be held in an all-empowering format online.

Following a rigorous selection process, students will attend interactive online sessions and learn from leading anti-corruption and accountability professionals. Transparency School seeks to create a peer-to-peer learning and integrity-building environment that links theory with practice and helps young leaders to acquire skills to better convey the message of anti-corruption.

The lectures, seminars, and trainings provide the School participants with a unique blend of international and local knowledge, while also challenging students to approach the subject from a new perspective and offer novel, previously untested solutions. Since 2010, Transparency School has welcomed more than 1400 youth leaders from more than 120 countries worldwide.","Transparency School is for senior students, graduates and young professionals eager to learn how to stand up against corruption and how to achieve greater transparency in their country. Transparency School does not discriminate on the basis of race, color, national origin, disability, sex, gender identity, religion, political beliefs, marital, familial or parental status, sexual orientation or any other basis.",Up to 550 Eur,Unrestricted,Unrestricted,17 July,Unrestricted,,Limited,https://www.internationalscholarships.com/scholarships/3670/
Post Doctoral Anthropology Fellowship,Fundação de Amparo à Pesquisa do estado de São Paulo - FAPESP,"Post-Doctoral Fellowship
Number of places: 1
Field of knowledge: Anthropology
Working area: Gender and intersectionalities, Mobilities, Migration
Project title: GEN-MIGRA: Gender, mobilities and migration during and post COVID-19 pandemic – vulnerability, resilience and renewal

Principal investigator: Adriana Gracia Piscitelli
Unit/ Instituition: Núcleo de Estudos de Gênero – PAGU da Universidade Estadual de Campinas - Unicamp
Development agency: Fundação de Amparo à Pesquisa do Estado de São Paulo - FAPESP","Candidates must have a background in social sciences, anthropology/sociology/political science, knowledge of feminist literature and intersectional perspectives on gender and migration (international and Brazilian), and proven experience in research and publication with issues linked to migrant trajectories and foreign refugees in Brazil, especially in the city of São Paulo.

The 20-month PD scholarship is aimed at carrying out an ethnography in the city of São Paulo aimed at understanding strategies for coping with crises, particularly the COVID-19 health crisis and its economic, housing and occupational effects on the lives of migrants in São Paulo and in their kinship and community networks. Studies will be conducted at the Center for Gender Studies of the University of Campinas (PAGU-UNICAMP), São Paulo state.

A first selection will be made considering the documents sent digitally (listed below). After this selection, applicants will be informed about the date of an interview that aims to provide additional elements for writing an action plan, to be sent remotely. The selection will be completed after the evaluation of this plan.

The documents to be sent digitally for the first selection are:

1) Motivation letter, explaining the application's relationship with the applicant's experience;
2) Curriculum;
3) Copy of the doctoral thesis;
4) Copy of publications.","R$ 8,479.20/month",Brazil,Unrestricted,June 23rd,Brazil,"includes a research contingency fund, equivalent to 10% of the annual value of the fellowship which should be spent in items directly related to the research activity.",1,https://www.internationalscholarships.com/scholarships/3672/
Health Safety and Education Scholarship,Shield Your Body,"Dr. Martin Blank - SYB Scholarship

The Dr. Martin Blank – SYB Scholarship has been created to encourage the participation of under-represented communities in the area of building health, safety and education by covering the tuition costs of the Building Biology Advocacy (BBA) Program at the Building Biology Institute (a $965 value). 

The scholarship is funded to permit three awards per calendar year. There is no formal deadline. Applications are evaluated as they are received.

A winner will be selected at the discretion of R Blank (Dr. Blank’s son, and the CEO of SYB) in collaboration with the Building Biology Institute. 

Applicants must be:

From a community that is underserved by, and lacks equitable and sufficient access to, resources in line with the information taught in the BBA program;
Demonstrate an ability to communicate to a wider audience in their community (such as a podcast, YouTube channel, church or community group leader);
Under the age of 50;
Able to devote the time sufficient to complete the rigorous program within 12 months;
Able to have regular and reliable internet access.

Please note:

This program is open to residents of anywhere in the world;
This program can be completed entirely online. No travel is necessary.
The Building Biology Institute (BBI) trains graduates to use the knowledge, tools, and skills they acquire during their course of study to actively assess and find solutions to the problems created from the misuse of chemistry and technology.

BBI has always been open to all, from working professionals to the general public, and a technical background is not necessary to successfully complete the program.",,$965,Unrestricted,Unrestricted,Open,Unrestricted,"Designed for environmentally conscious people from all walks of life, Building Biology Advocate (BBA) certification will give you the knowledge and skills with which to improve your own dwellings and workplaces, and educate others in this increasingly vital area of public health and well-being. BBA certification is also ideal for students and industry professionals who are seeking to complement their credentials in such fields as architecture, city planning, green building, interior and landscape design, Feng Shui, natural health, and the practice of medicine.

Please note that Building Biology Advocates (BBAs) are certified in Building Biology theory, but are not certified to assess, identify, and/or mitigate indoor environmental hazards to human health. Prior alumni of this program are Building Biology Practitioners (BBP), and they are subject to the same limitations stated as our BBAs are, here above.",3,https://www.internationalscholarships.com/scholarships/3673/
Vietnam PhD Program Scholarships,Ton Duc Thang University,"TDTU’s scholarship offer scholarships for 5 doctoral programs to international students with good academic standing will be awarded scholarships, which will be granted base on the student’s GPA.","Applicants should have obtained their degree from an institute that is in the top 1000 of QS/THE/URAP rankings. Both Master's Degrees and Bachelor's Degrees must be along with Transcripts in relevant applied majors. English Language Proficiency: For foreign applicants apply for the scholarship: TOEFL iBT 60, IELTS 6.0, PET/FCE 169 (English certificates must be valid for two years from the test date up to the application date).",Up to full tuition fee,Vietnam,Unrestricted,August 2022,Vietnam,"Tuition and dormitory fee coverage. Applicants with a GPA of 3.6 or more will be considered for 100% Scholarships while applicants with a GPA of more than 3.4 but less than 3.6 will be considered for 50% Scholarships. and applicants with a GPA of more than 3.2 bit less than 3.4 will be considered for a 25% Scholarships. Please note that GPA Grade Point Average measured out of 4.0. For detailed information, please visit our website linked below.",10,https://www.internationalscholarships.com/scholarships/3607/
Vietnam Masters Program Scholarships,Ton Duc Thang University,"TDTU stands for Ton Duc Thang University. It is a university in Vietnam with good rankings in the educational sector. TDTU’s scholarship offer scholarships for 14 Master’s Programs.
International students with good academic standings will be awarded scholarships, which will be granted base on the student’s GPA.","Applicants should have obtained their degree from an institute that is in the Top 1000 of  QS/THE/URAP rankings, their Bachelor's Degrees along with Transcripts in a relevant applied major, and English Language Proficiency: English is a medium of instruction for the master program: TOEIC 600, TOEFL iBT 50, IELTS 5.5, PET/FCE 160 (English certificates must be valid for two years from the test date up to the application date). Vietnamese is a medium of instruction for the master program: TOEIC 500, TOEFL iBT 45, IELTS 4.5, PET/FCE 140 (English certificates must be valid for two years from the test date up to the application date).",Up to full tuition fee,Vietnam,Unrestricted,August 2022,Vietnam,"Tuition and dormitory fee coverage. Applicants with a GPA of 3.6 or more will be considered for  100% Scholarships while applicants with a GPA of more than 3.4 but less than 3.6 will be considered for 50% Scholarships. and applicants with a GPA of more than 3.2 bit less than 3.4 will be considered for a 25% Scholarships. Please note that GPA Grade Point Average measured out of 4.0. For detailed information, please visit our website linked below.",10,https://www.internationalscholarships.com/scholarships/3606/
Ball State University First Year International Student Scholarships,Ball State University,"To provide increased access to U.S. higher education for talented international students, develop future world leaders who will advance intercultural understanding, and create a lasting legacy of welcoming international students to U.S. institutions, the Rinker Center will provide 2-3 scholarships of $7,000/semester ($14,000/year) to newly admitted international undergraduate students each Fall semester.","First-year international student (non-US citizen or permanent resident) who demonstrates interest and initiative in promoting intercultural learning and exchange.  Must be admitted to an on-campus program to be eligible to apply.  Applicants must complete a 500-1000 word essay or a 2-5 minute video?answering the following prompt:
Tell us about your leadership skills in your school or community, and how you plan to continue applying your leadership skills at Ball State University.

Use the link below and scroll to #YouAreWelcomeHere for details.",$14000,United States,Unrestricted,June 1st,United States,Non-resident tuition,2-3 annually,https://www.internationalscholarships.com/scholarships/3667/
British Council IELTS Award,British Council,"Creating opportunities that can change lives, we established the British Council IELTS Award in order to assist high calibre individuals who have a strong motivation to develop their career and who can demonstrate that they have the potential to contribute to society with their studies.

The award will enable successful applicants to study at an undergraduate or postgraduate level at an institution of higher education anywhere in the world (in Germany or abroad), in an English taught program that accepts IELTS as part of its admission requirements.

The British Council IELTS Award is worth between £3,000 up to £10,000 depending on the tuition fees of the institution chosen by the winner and will go towards the cost of tuition fees of the individual's selected course.

If tuition fees of the successful candidate are below the maximum individual award fund of £10,000, remaining funds may be allocated to support other runners-up.  

The successful applicant will demonstrate a commitment to networking within the IELTS community and sharing their experience with other IELTS candidates.","To be eligible to apply for the British Council IELTS Award Germany you must:

- be aged 18 years 
- have taken an IELTS test at a British Council centre in Germany and received an official Test Report Form (TRF) dated between 1 June 2021 and 30 June 2022 issued by the British Council in Germany
- have achieved a minimum overall band score of 6.5, plus a minimum score of 6.5 in each of the four components of the IELTS test
- be planning to enrol on a full-time undergraduate or postgraduate programme taught in English at a university or other institution of higher education in Germany or abroad, which accepts IELTS as part of its admission requirements (check the official recognition list.). The tuition fees of the programme of choice must be a minimum of £3,000.
- be able to provide an acceptance letter from the relevant educational organisation .","£10,000 GBP",Unrestricted,Unrestricted,June 30,Unrestricted,,1,https://www.internationalscholarships.com/scholarships/3484/
